dataset,start_sample,end_sample_exclusive,start_time_s,end_time_s,role
DC_Offset_67mA,0,1000,0.0,0.4975000023841858,training
DC_Offset_67mA,1000,1120,0.49799999594688416,0.5575000047683716,gap
DC_Offset_67mA,1120,1620,0.5580000281333923,0.8075000047683716,validation
DC_Offset_67mA,1620,1740,0.8080000281333923,0.8675000071525574,gap
DC_Offset_67mA,1740,2240,0.8679999709129333,1.1174999475479126,development_test
DC_Offset_67mA,2240,2360,1.1180000305175781,1.1775000095367432,gap
DC_Offset_67mA,2360,3360,1.1779999732971191,1.6759999990463257,training
DC_Offset_67mA,3360,3480,1.6764999628067017,1.7354999780654907,gap
DC_Offset_67mA,3480,3980,1.7359999418258667,1.9830000400543213,validation
DC_Offset_67mA,3980,4100,1.9835000038146973,2.0420000553131104,gap
DC_Offset_67mA,4100,4600,2.0425000190734863,2.2880001068115234,development_test
DC_Offset_67mA,4600,4720,2.2885000705718994,2.3464999198913574,gap
DC_Offset_67mA,4720,5720,2.3469998836517334,2.8334999084472656,training
DC_Offset_67mA,5720,5840,2.8340001106262207,2.8919999599456787,gap
DC_Offset_67mA,5840,6340,2.8924999237060547,3.1384999752044678,validation
DC_Offset_67mA,6340,6460,3.1389999389648438,3.197999954223633,gap
DC_Offset_67mA,6460,6960,3.198499917984009,3.444999933242798,development_test
DC_Offset_67mA,6960,7080,3.445499897003174,3.503999948501587,gap
DC_Offset_67mA,7080,8080,3.504499912261963,4.001500129699707,training
DC_Offset_67mA,8080,8200,4.001999855041504,4.061500072479248,gap
DC_Offset_67mA,8200,8700,4.061999797821045,4.311500072479248,validation
DC_Offset_67mA,8700,8820,4.311999797821045,4.371500015258789,gap
DC_Offset_67mA,8820,9320,4.372000217437744,4.621500015258789,development_test
DC_Offset_67mA,9320,9440,4.622000217437744,4.68149995803833,gap
DC_Offset_67mA,9440,10440,4.682000160217285,5.18149995803833,training
DC_Offset_67mA,10440,10560,5.182000160217285,5.241499900817871,gap
DC_Offset_67mA,10560,11060,5.242000102996826,5.491499900817871,validation
DC_Offset_67mA,11060,11180,5.492000102996826,5.551499843597412,gap
DC_Offset_67mA,11180,11680,5.552000045776367,5.801499843597412,development_test
DC_Offset_67mA,11680,11800,5.802000045776367,5.861499786376953,gap
DC_Offset_67mA,11800,12800,5.861999988555908,6.361499786376953,training
DC_Offset_67mA,12800,12920,6.361999988555908,6.421500205993652,gap
DC_Offset_67mA,12920,13420,6.421999931335449,6.671500205993652,validation
DC_Offset_67mA,13420,13540,6.671999931335449,6.731500148773193,gap
DC_Offset_67mA,13540,14040,6.73199987411499,6.981500148773193,development_test
DC_Offset_67mA,14040,14077,6.98199987411499,7.0,gap
DC_Offset_87mA,0,1000,0.0,0.49900001287460327,training
DC_Offset_87mA,1000,1120,0.49950000643730164,0.5590000152587891,gap
DC_Offset_87mA,1120,1620,0.559499979019165,0.8090000152587891,validation
DC_Offset_87mA,1620,1740,0.809499979019165,0.8690000176429749,gap
DC_Offset_87mA,1740,2240,0.8694999814033508,1.11899995803833,development_test
DC_Offset_87mA,2240,2360,1.1195000410079956,1.1790000200271606,gap
DC_Offset_87mA,2360,3360,1.1794999837875366,1.6775000095367432,training
